Date.Time,Transaction.Code,Transaction.Subcode,Symbol,Buy.Sell,Open.Close,Quantity,Expiration.Date,Strike,Call.Put,Price,Fees,Amount,Description
1/4/2021 10:33,Trade,Buy to Open,SQ,Buy,Open,1,1/29/2021,210,P,6.48,1.14,-648,Bought 1 SQ 01/29/21 Put 210.00 @ 6.48
1/4/2021 10:33,Trade,Sell to Open,SQ,Sell,Open,1,1/29/2021,215,P,8.29,1.162,829,Sold 1 SQ 01/29/21 Put 215.00 @ 8.29
1/7/2021 13:26,Trade,Buy to Close,AAL,Buy,Close,1,1/29/2021,16.5,P,1.48,0.14,-148,Bought 1 AAL 01/29/21 Put 16.50 @ 1.48
1/7/2021 13:26,Trade,Sell to Open,AAL,Sell,Open,1,2/26/2021,16,P,1.67,1.152,167,Sold 1 AAL 02/26/21 Put 16.00 @ 1.67
1/8/2021 9:30,Trade,Sell to Close,SQ,Sell,Close,1,1/29/2021,210,P,1.76,0.152,176,Sold 1 SQ 01/29/21 Put 210.00 @ 1.76
1/8/2021 9:30,Trade,Buy to Close,SQ,Buy,Close,1,1/29/2021,215,P,2.48,0.14,-248,Bought 1 SQ 01/29/21 Put 215.00 @ 2.48
1/8/2021 10:35,Trade,Sell to Open,NFLX,Sell,Open,1,2/5/2021,465,P,9.63,1.172,963,Sold 1 NFLX 02/05/21 Put 465.00 @ 9.63
1/8/2021 10:35,Trade,Buy to Open,NFLX,Buy,Open,1,2/5/2021,460,P,8.41,1.14,-841,Bought 1 NFLX 02/05/21 Put 460.00 @ 8.41
1/9/2021 9:18,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.04,Regulatory fee adjustment
1/19/2021 17:00,Money Movement,Credit Interest,,,,NA,,NA,,NA,0,0.02,INTEREST ON CREDIT BALANCE
1/20/2021 9:30,Trade,Sell to Close,NFLX,Sell,Close,1,2/5/2021,460,P,0.39,0.152,39,Sold 1 NFLX 02/05/21 Put 460.00 @ 0.39
1/20/2021 9:30,Trade,Buy to Close,NFLX,Buy,Close,1,2/5/2021,465,P,0.75,0.14,-75,Bought 1 NFLX 02/05/21 Put 465.00 @ 0.75
1/20/2021 10:27,Trade,Buy to Open,MSFT,Buy,Open,1,2/19/2021,215,P,4.05,1.14,-405,Bought 1 MSFT 02/19/21 Put 215.00 @ 4.05
1/20/2021 10:27,Trade,Sell to Open,MSFT,Sell,Open,1,2/19/2021,220,P,5.96,1.162,596,Sold 1 MSFT 02/19/21 Put 220.00 @ 5.96
1/23/2021 9:46,Money Movement,Balance Adjustment,,,,NA,,NA,,NA,0,-0.01,Regulatory fee adjustment
1/27/2021 10:05,Trade,Sell to Close,MSFT,Sell,Close,1,2/19/2021,215,P,1.26,0.152,126,Sold 1 MSFT 02/19/21 Put 215.00 @ 1.26
1/27/2021 10:05,Trade,Buy to Close,MSFT,Buy,Close,1,2/19/2021,220,P,1.91,0.14,-191,Bought 1 MSFT 02/19/21 Put 220.00 @ 1.91
